Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Overperforming Score (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Competitive Enterprise Institute,CompetitiveEnterpriseInstitute,5593944035,EDUCATION,US,"The Competitive Enterprise Institute is a public interest group dedicated to free enterprise and limited government. We believe the best solutions come from people making their own choices in a free marketplace, rather than government intervention.",2014-10-08 03:20:17 SGT,55490,55979,2021-02-03 22:55:53 SGT,2021-02-03,22:55:53,Link,113,55,5,13,0,4,13,0,23,0,,-,0,0,0,N/A,https://www.facebook.com/5593944035/posts/10158996476389036,"Former New York City mayor Michael Bloomberg is in hot water overseas —and potentially at home—with members of the Philippines government accusing Bloomberg-funded charities of illegally paying regulatory agencies to implement his anti-tobacco policies. While the general public may be shocked by the allegations, those familiar with Bloomberg may be less surprised, given his tendency to leverage his philanthropic largesse as a means of influencing government policy, from funding tobacco control efforts to installing privately funded lawyers in state attorney general offices across the U.S.",https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science/,,,Bloomberg’s Philanthro-Colonialism: A Threat to Global Health and Science – InsideSources,Former New York City mayor Michael Bloomberg is in hot water overseas —and potentially at home—with members of the Philippines government accusing,,,,2.26
NYC Citizens Lobbying Against Smoker Harassment (C.L.A.S.H.),,111253694071,none,,,2020-03-10 14:16:08 SGT,1212,N/A,2021-02-04 03:35:30 SGT,2021-02-04,03:35:30,Link,7,3,1,1,0,0,0,0,2,0,,-,0,0,0,N/A,https://www.facebook.com/groups/111253694071/permalink/10158262595754072,"It appears that nanny Bloomberg, after getting 'wooped' in his failed US presidential bid, continues to toss cash at willing TC operatives overseas: ",https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science/,,,Bloomberg’s Philanthro-Colonialism: A Threat to Global Health and Science – InsideSources,Former New York City mayor Michael Bloomberg is in hot water overseas —and potentially at home—with members of the Philippines government accusing,,,,-5.29
A Billion Vapers (18+) - Know Your Nicotine,,258067947991979,none,,,2019-07-20 06:52:29 SGT,4002,N/A,2021-02-03 22:07:46 SGT,2021-02-03,22:07:46,Link,6,1,0,1,0,0,0,0,4,0,,-,0,0,0,N/A,https://www.facebook.com/groups/258067947991979/permalink/1109050969560335,Bloomberg’s Philanthro-Colonialism: A Threat to Global Health and Science ,https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science/,,,Bloomberg’s Philanthro-Colonialism: A Threat to Global Health and Science – InsideSources,Former New York City mayor Michael Bloomberg is in hot water overseas —and potentially at home—with members of the Philippines government accusing,,,,-4
Nicotine Science and Policy,nicotinepolicy,240673896110762,WEBSITE,PL,"Nicotine Science and Policy is a new website devoted to news, research, comment and policy analysis on nicotine containing products, in particular nicotine",2016-12-13 03:51:47 SGT,589,589,2021-02-05 06:59:31 SGT,2021-02-05,06:59:31,Link,5,3,0,2,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/240673896110762/posts/1825460750965394,Insidesources | Bloomberg’s Philanthro-Colonialism: A Threat to Global Health and Science,https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science/,,,Bloomberg’s Philanthro-Colonialism: A Threat to Global Health and Science – InsideSources,Former New York City mayor Michael Bloomberg is in hot water overseas —and potentially at home—with members of the Philippines government accusing,,,,-0.58
VSI - Vapes Watch,,2023463064343140,none,,,2020-03-21 06:50:00 SGT,2011,N/A,2021-02-04 13:55:14 SGT,2021-02-04,13:55:14,Link,5,3,0,2,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/2023463064343140/permalink/4114948178527941,"**International:** Bloombergs Philanthro-Kolonialismus: Eine Bedrohung für die globale Gesundheit und Wissenschaft Der frühere Bürgermeister von New York City, Michael Bloomberg, ist in Übersee in heißem Wasser - und möglicherweise auch zu Hause -. Mitglieder der philippinischen Regierung beschuldigen von Bloomberg finanzierte Wohltätigkeitsorganisationen, illegal bezahlte Aufsichtsbehörden für die Umsetzung seiner Anti-Tabak-Politik zu bezahlen. Während die breite Öffentlichkeit von den Vorwürfen schockiert sein mag, sind diejenigen, die mit Bloomberg vertraut sind, angesichts seiner Tendenz, seine philanthropische Größe als Mittel zur Beeinflussung der Regierungspolitik zu nutzen, von der Finanzierung von Tabakkontrollbemühungen bis zur Installation von privat finanzierten Anwälten in den USA. Seit Jahren hat Bloomberg beträchtliche Beträge für die Finanzierung eines Netzes finanziell verbundener gemeinnütziger Organisationen, Universitäten und Aktivisten aufgewendet, um ihre internationalen Bemühungen zu koordinieren, die Panik über das Vaping zu schüren und die Regierungen dazu zu zwingen, Regeln zu verabschieden, die dem Verbot so nahe wie möglich kommen . Noch heimtückischer ist, dass Bloomberg angesehene Institutionen in seine Kabale gelockt hat, um die Verbreitung von Fehlinformationen und die Angst vor nicht brennbaren Tabakerzeugnissen zu fördern. *Die Nummer eins unter diesen Institutionen ist die **Weltgesundheitsorganisation (WHO)**, die mehr als eine Milliarde Dollar für ihre „ Bloomberg-Initiative zur Reduzierung des Tabakkonsums “ und mindestens 2,5 Milliarden Dollar erhalten hat andere nicht übertragbare Krankheiten zu bekämpfen. K*ein Wunder, dass die WHO Bloomberg nicht nur zu ihrem offiziellen Botschafter für nicht übertragbare Krankheiten macht, sondern sich auch hartnäckig weigert, Berge von Beweisen anzuerkennen, dass nicht brennbare Tabak- und Nikotinprodukte das Leben von Rauchern retten können. Stattdessen fördern sie eklatante Lügen und versuchen, Regierungen auf der ganzen Welt dazu zu bringen, Nikotindampfprodukte zu verbieten - auch wenn sie keine solche Politik für tatsächliche Zigaretten verfolgen . In Übereinstimmung mit der Agenda von Bloomberg haben diese Gruppen einen erheblichen Teil ihrer Energie auf Länder mit niedrigem und mittlerem Einkommen gerichtet. Mit ihrem Geld, ihrer Schlagkraft und ihren Verbindungen setzen sie diesen Nationen ihre Ansichten und ihren Willen auf, ohne den Beitrag der lokalen Bevölkerung und ohne, oder mit geringer Rücksicht auf ihre spezifischen Umstände, Bedürfnisse und Werte. Inmitten einer Welle des Interesses an der „Entkolonialisierung“ der öffentlichen Gesundheit verdient diese Art von bevormundender Einmischung, auch wenn sie gut gemeint sein mag, eine Prüfung. Die Strategie von Bloomberg hat sich als wirksam erwiesen, insbesondere in Ländern mit niedrigerem Einkommen und hoher Raucherquote - diejenigen, die am meisten davon profitieren würden, wenn sie Zugang zu Alternativen mit geringerem Risiko hätten. Dies ist tragisch für die Millionen von Männern und Frauen in diesen Ländern, die weiterhin rauchen und sterben werden, weil ihre Regierung ihnen auf Geheiß von Agenda-gesteuerten ausländischen Philanthropen das Recht entzieht, ihre eigenen informierten Gesundheitsentscheidungen zu treffen. Aber es hat auch zutiefst beunruhigende Auswirkungen, die über das Thema Tabak hinausgehen. Inmitten der COVID-19-Pandemie, auf die die internationale Gesundheitsgemeinschaft absolut unvorbereitet war, ist klarer denn je, wie wichtig es ist, dass die Gesundheitspolitik eher auf Beweisen als auf Politik basiert. Dass eine Person wie Bloomberg Regierungen, Gesundheitsorganisationen und Institutionen dazu bringen kann, seine Agenda trotz der Beweise zu unterstützen, sollte alle alarmieren, egal wo sie leben. https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science/?fbclid=IwAR2ra6pYezxKBPoAtgNROKW2RUjwBBQva5FjbT-9_AkBxvlBNUXsDmZo7ZE",https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science/,,,Bloomberg’s Philanthro-Colonialism: A Threat to Global Health and Science – InsideSources,Former New York City mayor Michael Bloomberg is in hot water overseas —and potentially at home—with members of the Philippines government accusing,,,,-5.8
Anesvap Activa-T,,1084650478272604,none,,,2020-03-11 15:18:20 SGT,2204,N/A,2021-02-04 15:08:14 SGT,2021-02-04,15:08:14,Link,4,3,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/groups/1084650478272604/permalink/5077709662299979,,https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science,,,This is a re-share of a post,"El filantrocolonialismo de Bloomberg: una amenaza para la salud y la ciencia globales
-Fragmento-

""Los miembros del gobierno de Filipinas han pedido a su FDA que  devuelva los fondos  y cese toda interacción con las organizaciones benéficas extranjeras hasta que el Comité de Buen Gobierno y Responsabilidad Pública de la Cámara concluya una investigación exhaustiva. Sin duda, una investigación de este tipo revelaría más evidencia de irregularidades por parte de estas organizaciones benéficas en ese país. Pero el esfuerzo de Bloomberg por manipular a los gobiernos para que restrinjan las alternativas de tabaco de menor riesgo está lejos de limitarse a Filipinas.

Durante años, Bloomberg ha dedicado cantidades considerables a financiar una red de organizaciones sin fines de lucro, universidades y activistas vinculados financieramente, coordinando su esfuerzo internacional para fomentar el pánico sobre el vapeo y coaccionar a los gobiernos para que adopten reglas que se  acerquen lo más posible a la prohibición . Más insidiosamente, Bloomberg ha atraído a instituciones respetadas a su camarilla, facilitando la difusión de información errónea y el miedo sobre los productos de tabaco no combustibles. La número uno entre esas instituciones es la Organización Mundial de la Salud (OMS), que ha recibido más de mil millones de dólares  para su ""Iniciativa Bloomberg para reducir el tabaco"" y al menos  $2.5 mil millones para combatir otras enfermedades no transmisibles. No es de extrañar que la OMS, además de nombrar a Bloomberg su embajador oficial para las enfermedades no transmisibles, se niegue obstinadamente a reconocer montañas de evidencia de que los productos de tabaco y nicotina no combustibles pueden salvar la vida de los fumadores. En cambio, promueven mentiras descaradas  y tratan de presionar a los gobiernos de todo el mundo para que  prohíban los  productos de vapeo de nicotina , incluso sin aplicar esa política para  los cigarrillos reales.

De acuerdo con  la agenda de Bloomberg , estos grupos han dirigido una cantidad significativa de su energía a países de ingresos bajos y medianos. Usando su dinero, influencia y conexiones, imponen sus puntos de vista y voluntad sobre estas naciones, sin la participación de las poblaciones locales y con poca o ninguna consideración por sus circunstancias, necesidades y valores específicos.""
Michelle Minton

Enlace articulo completo:
https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science

Enlace para conocer que gobiernos y organizaciones no gubernamentales de la región reciben dinero directamente de Bloomberg:
https://tobaccocontrolgrants.org/What-we-fund

Nota: Enlace anterior no toma en cuenta fondos dirigidos desde The Union, Tobacco Free Kids ó otra organización.",,,,-5.5
Vaping saved my life.,savapertestimonials,121673125114835,COMMUNITY,,"This is a community project, record a small video or write your story on how vaping has helped you quit smoking and how you feel now.",2020-12-12 16:40:05 SGT,3849,4151,2021-02-03 22:35:46 SGT,2021-02-03,22:35:46,Link,3,3,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/121673125114835/posts/794886887793452,It would be interesting to see the level of influence in African countries.,https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science/,,,This is a re-share of a post,"Bloomberg’s Philanthro-Colonialism: A Threat to Global Health and Science

",,,,-8
Perro Vapero,perrovaperoliquids,818517311619876,PERSONAL BLOG,MX,"Todo sobre el mundo del ""Vapeo"", Videos de Revisiones de productos y líquidos para cigarro electrónico.",2018-11-03 12:25:33 SGT,1896,1960,2021-02-05 02:11:24 SGT,2021-02-05,02:11:24,Link,1,0,0,1,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/818517311619876/posts/1957553881049541,"Durante años, Bloomberg ha dedicado cantidades considerables, coordinando su esfuerzo internacional para fomentar el pánico sobre el vapeo y coaccionar a los gobiernos para que adopten reglas que se acerquen lo más posible a la prohibición . ""La número uno entre esas instituciones es la Organización Mundial de la Salud (OMS)"" ""se niega obstinadamente a reconocer montañas de evidencia de que los productos de tabaco y nicotina no combustibles pueden salvar la vida de los fumadores. Michelle Minton Enlace articulo completo: https://insidesources.com/bloombergs-philanthro...:=:https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science/ Enlace para conocer que gobiernos y organizaciones no gubernamentales de la región reciben dinero directamente de Bloomberg: https://tobaccocontrolgrants.org/What-we-fund Nota: Enlace anterior no toma en cuenta fondos dirigidos desde The Union, Tobacco Free Kids ó otra organización.",https://tobaccocontrolgrants.org/What-we-fund,,,Previously Funded Projects - Tobacco Control Grants,,,,,-32
E Cig Impressions,ecigimpressions,254281424608898,E-CIGARETTE STORE,,"We offer a large selection of vape gear, accessories, and eliquids. Come browse the shop. If I can make the switch, I believe anyone can!. 




                                                                    ",2020-02-11 16:36:11 SGT,836,830,2021-02-04 23:04:05 SGT,2021-02-04,23:04:05,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/254281424608898/posts/3660769630626710,"What a disappointing this to do with his money, when he could be endorsing a lifesaving device. This man, and his money is not our friend. :( https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science/",https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science/,,,Bloomberg’s Philanthro-Colonialism: A Threat to Global Health and Science – InsideSources,Former New York City mayor Michael Bloomberg is in hot water overseas —and potentially at home—with members of the Philippines government accusing,,,,-26
ecigcharleston.com,ecigcharleston,182694035087555,E-CIGARETTE STORE,US,"Ecigcharleston.com Charleston, Sc Premier Electronic Cigarette Store",2016-12-13 03:47:11 SGT,2502,2501,2021-02-03 22:03:10 SGT,2021-02-03,22:03:10,Link,0,0,0,0,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/182694035087555/posts/4028293307194256,Bloomberg’s Philanthro-Colonialism: A Threat to Global Health and Science https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science/,https://insidesources.com/bloombergs-philanthro-colonialism-a-threat-to-global-health-and-science/,,,Bloomberg’s Philanthro-Colonialism: A Threat to Global Health and Science – InsideSources,Former New York City mayor Michael Bloomberg is in hot water overseas —and potentially at home—with members of the Philippines government accusing,,,,-16
